Ticker,Sector,Industry
OBSCP.NS,Producer Manufacturing,Metal Fabrication
OCCLLTD.NS,Process Industries,Chemicals: Specialty
ODIGMA.NS,Technology Services,Internet Software/Services
ODYCORP.NS,Consumer Services,Movies/Entertainment
OFSS.NS,Technology Services,Packaged Software
OIL.NS,Energy Minerals,Oil Refining/Marketing
OILCOUNTUB.NS,Industrial Services,Oilfield Services/Equipment
OLAELEC.NS,Consumer Durables,Motor Vehicles
OLECTRA.NS,Consumer Durables,Motor Vehicles
OLIL.NS,Transportation,Marine Shipping
OMAXAUTO.NS,Producer Manufacturing,Auto Parts: OEM
OMAXE.NS,Finance,Real Estate Development
OMFREIGHT.NS,Transportation,Air Freight/Couriers
OMFURN.NS,Producer Manufacturing,Office Equipment/Supplies
OMINFRAL.NS,Industrial Services,Engineering & Construction
OMNI.NS,Producer Manufacturing,Metal Fabrication
OMPOWER.NS,Utilities,Electric Utilities
ONDOOR.NS,Retail Trade,Food Retail
ONEGLOBAL.NS,Commercial Services,Miscellaneous Commercial Services
ONELIFECAP.NS,Finance,Investment Managers
ONEPOINT.NS,Commercial Services,Miscellaneous Commercial Services
ONESOURCE.NS,Health Technology,Pharmaceuticals: Major
ONGC.NS,Energy Minerals,Oil Refining/Marketing
ONIDA.NS,Electronic Technology,Telecommunications Equipment
ONIXSOLAR.NS,Producer Manufacturing,Industrial Machinery
ONMOBILE.NS,Communications,Specialty Telecommunications
ONWARDTEC.NS,Technology Services,Information Technology Services
ONYX.NS,Health Technology,Pharmaceuticals: Major
OPTIEMUS.NS,Distribution Services,Electronics Distributors
OPTIFIN.NS,Distribution Services,Wholesale Distributors
OPTIMYSTIX.NS,Consumer Services,Movies/Entertainment
OPTIVALUE.NS,Technology Services,Information Technology Services
ORBTEXP.NS,Process Industries,Textiles
ORCHASP.NS,Technology Services,Information Technology Services
ORCHPHARMA.NS,Health Technology,Pharmaceuticals: Major
ORIANA.NS,Industrial Services,Engineering & Construction
ORICONENT.NS,Producer Manufacturing,Miscellaneous Manufacturing
ORIENTALTL.NS,Non-Energy Minerals,Construction Materials
ORIENTBELL.NS,Producer Manufacturing,Building Products
ORIENTCEM.NS,Non-Energy Minerals,Construction Materials
ORIENTCER.NS,Non-Energy Minerals,Aluminum
ORIENTELEC.NS,Consumer Durables,Electronics/Appliances
ORIENTHOT.NS,Consumer Services,Hotels/Resorts/Cruise lines
ORIENTLTD.NS,Process Industries,Containers/Packaging
ORIENTPPR.NS,Process Industries,Pulp & Paper
ORIENTTECH.NS,Technology Services,Information Technology Services
ORIRAIL.NS,Producer Manufacturing,Building Products
ORISSAMINE.NS,Non-Energy Minerals,Steel
ORKLAINDIA.NS,Consumer Non-Durables,Food: Specialty/Candy
ORTEL.NS,Consumer Services,Cable/Satellite TV
ORTINGLOBE.NS,Health Technology,Pharmaceuticals: Major
OSELDEVICE.NS,Health Technology,Medical Specialties
OSIAHYPER.NS,Retail Trade,Food Retail
OSWALAGRO.NS,Finance,Real Estate Development
OSWALGREEN.NS,Finance,Real Estate Development
OSWALPUMPS.NS,Producer Manufacturing,Industrial Machinery
OSWALSEEDS.NS,Process Industries,Agricultural Commodities/Milling
OWAIS.NS,Process Industries,Chemicals: Specialty
PACEDIGITK.NS,Utilities,Electric Utilities
PACIFICI.NS,Non-Energy Minerals,Construction Materials
PAGEIND.NS,Consumer Non-Durables,Apparel/Footwear
PAISALO.NS,Finance,Finance/Rental/Leasing
PAKKA.NS,Process Industries,Pulp & Paper
PALASHSECU.NS,Consumer Non-Durables,Food: Specialty/Candy
PALREDTEC.NS,Distribution Services,Electronics Distributors
PANACEABIO.NS,Health Technology,Pharmaceuticals: Major
PANACHE.NS,Electronic Technology,Computer Peripherals
PANAMAPET.NS,Process Industries,Industrial Specialties
PANCHMAHQ.NS,Non-Energy Minerals,Steel
PANORAMA.NS,Retail Trade,Specialty Stores
PANSARI.NS,Technology Services,Packaged Software
PAR.NS,Process Industries,Chemicals: Specialty
PARACABLES.NS,Producer Manufacturing,Electrical Products
PARADEEP.NS,Process Industries,Chemicals: Agricultural
PARAGMILK.NS,Consumer Non-Durables,Food: Meat/Fish/Dairy
PARAGON.NS,Process Industries,Chemicals: Major Diversified
PARAMATRIX.NS,Technology Services,Packaged Software
PARAMOUNT.NS,Process Industries,Textiles
PARAS.NS,Electronic Technology,Aerospace & Defense
PARASPETRO.NS,Process Industries,Textiles
PARIN.NS,Consumer Durables,Home Furnishings
PARKHOSPS.NS,Health Services,Hospital/Nursing Management
PARKHOTELS.NS,Consumer Services,Hotels/Resorts/Cruise lines
PARNAXLAB.NS,Health Technology,Pharmaceuticals: Major
PARSVNATH.NS,Finance,Real Estate Development
PARTH.NS,Producer Manufacturing,Electrical Products
PARTYCRUS.NS,Consumer Services,Other Consumer Services
PASHUPATI.NS,Process Industries,Textiles
PASUPTAC.NS,Process Industries,Textiles
PATANJALI.NS,Process Industries,Agricultural Commodities/Milling
PATELENG.NS,Industrial Services,Engineering & Construction
PATELRMART.NS,Retail Trade,Food Retail
PATILAUTOM.NS,Producer Manufacturing,Auto Parts: OEM
PATINTLOG.NS,Transportation,Other Transportation
PAUSHAKLTD.NS,Process Industries,Chemicals: Major Diversified
PAVNAIND.NS,Producer Manufacturing,Auto Parts: OEM
PAYTM.NS,Finance,Finance/Rental/Leasing
PBMPOLY.NS,Process Industries,Textiles
PCBL.NS,Process Industries,Industrial Specialties
PCCL.NS,Process Industries,Industrial Specialties
PCJEWELLER.NS,Consumer Durables,Other Consumer Specialties
PDMJEPAPER.NS,Process Industries,Pulp & Paper
PDSL.NS,Consumer Non-Durables,Apparel/Footwear
PEARLPOLY.NS,Process Industries,Containers/Packaging
PELATRO.NS,Technology Services,Packaged Software
PENIND.NS,Non-Energy Minerals,Steel
PENINLAND.NS,Finance,Real Estate Development
PENTAGON.NS,Producer Manufacturing,Industrial Machinery
PERFECT.NS,Consumer Services,Other Consumer Services
PERMAGN.NS,Producer Manufacturing,Industrial Machinery
PERNIASPOP.NS,Retail Trade,Apparel/Footwear Retail
PERSISTENT.NS,Technology Services,Information Technology Services
PETRONET.NS,Utilities,Gas Distributors
PFC.NS,Finance,Finance/Rental/Leasing
PFIZER.NS,Health Technology,Pharmaceuticals: Major
PFOCUS.NS,Consumer Services,Movies/Entertainment
PFS.NS,Finance,Finance/Rental/Leasing
PGEL.NS,Electronic Technology,Electronic Production Equipment
PGHH.NS,Consumer Non-Durables,Household/Personal Care
PGHL.NS,Health Technology,Pharmaceuticals: Major
PGIL.NS,Consumer Non-Durables,Apparel/Footwear
PHANTOMFX.NS,Consumer Services,Movies/Entertainment
PHOENIXLTD.NS,Finance,Real Estate Development
PHOENXINTL.NS,Finance,Real Estate Development
PHOGLOBAL.NS,Consumer Non-Durables,Consumer Sundries
PICCADIL.NS,Process Industries,Agricultural Commodities/Milling
PIDILITIND.NS,Process Industries,Industrial Specialties
PIGL.NS,Industrial Services,Engineering & Construction
PIIND.NS,Process Industries,Chemicals: Specialty
PILANIINVS.NS,Finance,Financial Conglomerates
PILITA.NS,Producer Manufacturing,Miscellaneous Manufacturing
PINELABS.NS,Technology Services,Packaged Software
PIONEEREMB.NS,Consumer Non-Durables,Apparel/Footwear
PIONRINV.NS,Finance,Investment Banks/Brokers
PIRAMALFIN.NS,Finance,Finance/Rental/Leasing
PITTIENG.NS,Producer Manufacturing,Industrial Machinery
PIXTRANS.NS,Producer Manufacturing,Miscellaneous Manufacturing
PKTEA.NS,Process Industries,Agricultural Commodities/Milling
PLADAINFO.NS,Commercial Services,Miscellaneous Commercial Services
PLASTIBLEN.NS,Process Industries,Chemicals: Major Diversified
PLATIND.NS,Process Industries,Chemicals: Major Diversified
PLAZACABLE.NS,Producer Manufacturing,Electrical Products
PML.NS,Commercial Services,Miscellaneous Commercial Services
PNB.NS,Finance,Major Banks
PNBGILTS.NS,Finance,Investment Banks/Brokers
PNBHOUSING.NS,Finance,Finance/Rental/Leasing
PNC.NS,Consumer Services,Movies/Entertainment
PNCINFRA.NS,Industrial Services,Engineering & Construction
PNGJL.NS,Retail Trade,Specialty Stores
PNGSREVA.NS,Consumer Durables,Other Consumer Specialties
POCL.NS,Non-Energy Minerals,Other Metals/Minerals
PODDARMENT.NS,Process Industries,Industrial Specialties
POEL.NS,Process Industries,Chemicals: Specialty
POKARNA.NS,Producer Manufacturing,Building Products
POLICYBZR.NS,Technology Services,Internet Software/Services
POLYCAB.NS,Producer Manufacturing,Electrical Products
POLYMED.NS,Health Technology,Medical Specialties
POLYPLEX.NS,Process Industries,Chemicals: Specialty
POLYSIL.NS,Producer Manufacturing,Trucks/Construction/Farm Machinery
POLYSPIN.NS,Process Industries,Containers/Packaging
PONNIERODE.NS,Process Industries,Agricultural Commodities/Milling
POONAWALLA.NS,Finance,Finance/Rental/Leasing
POSITRON.NS,Utilities,Gas Distributors
POWERGRID.NS,Utilities,Alternative Power Generation
POWERICA.NS,Producer Manufacturing,Electrical Products
POWERINDIA.NS,Electronic Technology,Electronic Equipment/Instruments
POWERMECH.NS,Industrial Services,Engineering & Construction
PPAP.NS,Producer Manufacturing,Auto Parts: OEM
PPL.NS,Producer Manufacturing,Miscellaneous Manufacturing
PPLPHARMA.NS,Health Technology,Pharmaceuticals: Major
PPSL.NS,Consumer Services,Movies/Entertainment
PRABHA.NS,Energy Minerals,Oil & Gas Production
PRADPME.NS,Producer Manufacturing,Metal Fabrication
PRAENG.NS,Consumer Durables,Homebuilding
PRAJIND.NS,Industrial Services,Engineering & Construction
PRAKASH.NS,Non-Energy Minerals,Steel
PRAKASHSTL.NS,Non-Energy Minerals,Steel
PRAMARA.NS,Consumer Durables,Recreational Products
PRAMODINI.NS,Health Services,Medical/Nursing Services
