Ticker,Industry,Current Price,52W High,Days Since Peak,Max Base DD %,Prior Leg Gain %,RS vs Nifty (6m) %,Median_6M_Perf,Stock_Count
APOLLO.NS,Electronic production equipment,388.9,466.5,45,19.83,38.54,87.84,56.44,10
ARVIND.NS,Textiles,552.95,595.24,48,15.84,48.97,70.57,33.66,21
MAYURUNIQ.NS,Textiles,734.85,899.99,45,20.41,40.16,45.68,33.66,21
PREMEXPLN.NS,Chemicals: specialty,664.0,829.8,48,23.31,44.16,37.97,38.94,46
