Rank,Industry,Sector,Median_RS,Mean_RS,Pct_Above_70,Pct_Near_High,Stock_Count,Top_Stock,Top_Stock_RS,Industry_Rank_Score
1,Electronics Distributors,Distribution Services,84.0,65.0,75.0,25.0,4,RPTECH.NS,92,69.5
2,Specialty Stores,Retail Trade,58.0,43.63636363636363,45.45454545454545,36.36363636363637,11,CONFIPET.NS,94,49.90909090909091
3,Aerospace & Defense,Electronic Technology,49.5,46.625,50.0,12.5,8,PARAS.NS,90,42.25
4,Integrated Oil,Energy Minerals,42.5,44.5,25.0,50.0,4,ANTELOPUS.NS,93,38.75
5,Wholesale Distributors,Distribution Services,40.0,40.4375,37.5,31.25,16,PRIZOR.NS,97,37.5
6,Other Transportation,Transportation,29.5,37.0,25.0,50.0,4,SHREEJISPG.NS,89,32.25
7,Semiconductors,Electronic Technology,49.0,34.22222222222222,11.11111111111111,11.11111111111111,9,EMMVEE.NS,79,30.055555555555554
8,Telecommunications Equipment,Electronic Technology,45.0,36.2,20.0,0.0,5,ASTRAMICRO.NS,79,28.5
9,Motor Vehicles,Consumer Durables,36.0,33.666666666666664,20.0,20.0,15,ATHERENERG.NS,95,28.0
10,Oil Refining/Marketing,Energy Minerals,28.0,30.22222222222222,11.11111111111111,22.22222222222222,9,CHENNPETRO.NS,86,21.77777777777778
11,Marine Shipping,Transportation,41.0,27.666666666666668,0.0,0.0,3,DREDGECORP.NS,42,20.5
12,Electronic Equipment/Instruments,Electronic Technology,24.0,31.5,16.666666666666664,16.666666666666664,6,APARINDS.NS,81,20.333333333333332
13,Major Banks,Finance,29.0,30.823529411764707,0.0,23.52941176470588,17,RBLBANK.NS,69,19.205882352941178
14,Biotechnology,Health Technology,0.0,26.333333333333332,33.33333333333333,33.33333333333333,3,AKUMS.NS,79,16.666666666666664
15,Oilfield Services/Equipment,Industrial Services,0.0,31.333333333333332,33.33333333333333,33.33333333333333,3,DEEPINDS.NS,94,16.666666666666664
16,Medical Specialties,Health Technology,0.0,25.666666666666668,33.33333333333333,33.33333333333333,3,LENSKART.NS,77,16.666666666666664
17,Electrical Products,Producer Manufacturing,11.5,29.0,20.0,20.0,50,HFCL.NS,97,15.75
18,Investment Banks/Brokers,Finance,21.0,26.666666666666668,4.761904761904762,19.047619047619047,21,GCSL.NS,84,15.738095238095239
19,Regional Banks,Finance,13.5,27.72222222222222,11.11111111111111,27.77777777777778,18,ESAFSFB.NS,80,15.63888888888889
20,Trucks/Construction/Farm Machinery,Producer Manufacturing,12.0,26.055555555555557,11.11111111111111,16.666666666666664,18,KMEW.NS,87,12.666666666666664
