Rank,Industry,Sector,Median_RS,Mean_RS,Pct_Above_70,Pct_Near_High,Stock_Count,Top_Stock,Top_Stock_RS,Industry_Rank_Score
1,Oilfield Services/Equipment,Industrial Services,92.0,86.0,100.0,100.0,3,DEEPINDS.NS,96,96.0
2,Biotechnology,Health Technology,80.0,84.0,100.0,100.0,3,RUBICON.NS,95,90.0
3,Electronics Distributors,Distribution Services,88.5,87.5,100.0,25.0,4,RPTECH.NS,93,79.25
4,Electronic Components,Electronic Technology,86.5,66.75,75.0,50.0,4,UNIVCABLES.NS,94,75.75
5,Electronic Production Equipment,Electronic Technology,84.0,74.44444444444444,66.66666666666666,55.55555555555556,9,CYIENTDLM.NS,99,73.11111111111111
6,Medical Specialties,Health Technology,78.0,81.0,66.66666666666666,66.66666666666666,3,SETL.NS,99,72.33333333333333
7,Internet Retail,Retail Trade,78.0,62.5,75.0,50.0,4,MSTCLTD.NS,90,71.5
8,Specialty Stores,Retail Trade,78.0,69.72727272727273,63.63636363636363,54.54545454545454,11,CONFIPET.NS,97,69.0
9,Containers/Packaging,Process Industries,79.0,65.84615384615384,53.84615384615385,46.15384615384615,13,COMSYN.NS,94,64.88461538461539
10,Pharmaceuticals: Major,Health Technology,71.0,63.733333333333334,53.333333333333336,52.0,75,NOVARTIND.NS,98,61.9
11,Metal Fabrication,Producer Manufacturing,70.0,65.34782608695652,52.17391304347826,52.17391304347826,23,OMNI.NS,96,61.086956521739125
12,Chemicals: Specialty,Process Industries,73.0,59.92156862745098,54.90196078431373,39.21568627450981,51,IOLCP.NS,98,60.81372549019608
13,Integrated Oil,Energy Minerals,68.0,60.75,50.0,50.0,4,ANTELOPUS.NS,95,59.0
14,Internet Software/Services,Technology Services,68.0,61.92307692307692,46.15384615384615,53.84615384615385,13,BLSE.NS,94,58.61538461538461
15,Medical/Nursing Services,Health Services,66.0,56.27272727272727,45.45454545454545,54.54545454545454,11,UNIHEALTH.NS,94,57.54545454545454
16,Auto Parts: OEM,Producer Manufacturing,65.5,59.5,44.0,42.0,50,WHEELS.NS,97,54.35
17,Electrical Products,Producer Manufacturing,65.0,60.5,48.0,36.0,50,KSHINTL.NS,98,54.1
18,Textiles,Process Industries,64.5,61.80769230769231,46.15384615384615,38.46153846153847,26,JINDWORLD.NS,97,53.78846153846154
19,Wholesale Distributors,Distribution Services,67.0,58.13333333333333,40.0,40.0,15,PRIZOR.NS,98,53.5
20,Other Consumer Specialties,Consumer Durables,59.5,57.25,43.75,43.75,16,TBZ.NS,99,51.625
