Ticker,Current_Price,High_52W,Pct_From_High,Avg_Volume,Return_1W,Return_1M,Return_3M,Return_6M,RS_Composite,EMA_10,EMA_20,SMA_50,SMA_100,SMA_200,RS_Percentile,Sector,Industry
CYIENTDLM.NS,968.0,1009.0,-4.063429137760155,643552.8247011952,12.925803338207164,39.98553868402024,124.15190142847136,221.38112907334167,1.3508771012850285,869.2681488960536,811.6204545236585,682.2710009765625,556.9630001831055,460.16125030517577,99,Electronic Technology,Electronic Production Equipment
TBZ.NS,542.9500122070312,583.0499877929688,-6.877622232311298,1247123.952191235,49.03926170746651,98.03514131973516,229.144440972571,301.6133259322448,2.138996170993629,427.48405224165526,366.2964670669395,280.8907229614258,219.75281372070313,186.50032493591308,99,Consumer Durables,Other Consumer Specialties
BODALCHEM.NS,186.3000030517578,189.67999267578125,-1.7819431434715538,548832.508,46.97065313357995,170.54894191178929,178.6836309710285,323.1206182530194,2.216601902882322,142.83342380868035,118.27572860227635,81.33540077209473,75.31370018005371,63.643300189971924,99,Process Industries,Industrial Specialties
SIGMAADV.NS,767.7999877929688,801.0,-4.144820500253587,281532.7250996016,-0.6662816912774816,9.45897418651045,60.12512779832508,391.3605623859021,1.764069299620327,754.6932566748586,728.4954933119251,644.5060009765625,522.9761997985839,350.9884003448486,99,Technology Services,Information Technology Services
SETL.NS,418.6499938964844,419.6499938964844,-0.2382938197412865,555430.545816733,11.654882055404192,40.81735993478086,163.4675959580052,239.89607868812817,1.5432767045514941,383.9401049084444,356.87072825541026,306.7809997558594,232.5704997253418,183.35354972839355,99,Health Technology,Medical Specialties
STLTECH.NS,856.0,864.4000244140625,-0.9717751245734263,3998702.151394422,23.39627864162861,34.2218737749902,50.59816383407287,375.1859680805512,1.7443783900160326,747.8344118916837,702.9722986126395,613.7130023193359,547.3100994873047,344.5572495651245,99,Technology Services,Information Technology Services
MODISONLTD.NS,506.45001220703125,546.0,-7.243587507869731,115989.73306772909,-2.7273622474159875,64.72596913282833,67.77278418531345,297.3771988174958,1.5195517238441643,471.8137907508262,432.93697171568436,343.114365234375,292.6581956481934,216.34648071289064,99,Industrial Services,Engineering & Construction
HFCL.NS,246.88999938964844,256.70001220703125,-3.821586424184087,29047679.198412698,9.113004255021862,15.239914609471095,43.657627436769374,242.6172741525506,1.1410348123944747,239.16622079914237,233.48745851019768,219.5225988769531,191.87269950866698,131.13524984359742,98,Producer Manufacturing,Electrical Products
BLISSGVS.NS,703.5,725.9000244140625,-3.0858277532286205,2402875.665338645,11.59580786087082,46.62359689420348,61.46541410892545,216.06010743194705,1.1534796737038424,646.5141482050731,603.6300644133213,529.4530053710937,448.28744140625,320.5882395172119,98,Health Technology,Pharmaceuticals: Major
NOVARTIND.NS,2067.10009765625,2069.800048828125,-0.130445024069048,39268.333333333336,29.0727504000156,29.70447141799031,58.81224158180469,207.4897876766456,1.0948775686879928,1707.0313049492488,1637.369220967138,1583.557998046875,1433.6549987792969,,98,Health Technology,Pharmaceuticals: Major
