Rank,Sector_Index,Return_1M,Return_3M,Return_6M,RS_Spread_1M,RS_Spread_3M,RS_Spread_6M,Composite_RS
1,Nifty Pharma,1.5494931598897477,11.29559144221517,16.884438979265838,5.254375042697168,9.322506009488718,21.297363094226384,13.095416101685897
2,Nifty Metal,1.6705835550735015,2.6999223602484523,19.224774064074033,5.375465437880922,0.726836927522001,23.637698179034583,11.053338555716763
3,Nifty Realty,8.918551852013646,13.52776056286682,2.213956016697649,12.623433734821067,11.554675130140367,6.626880131658197,9.850746781917675
4,Nifty Media,1.928734382506181,8.933365170769614,8.268432719330443,5.633616265313601,6.9602797380431625,12.681356834290991,8.917044708359903
5,Nifty MNC,-1.9409708256686087,2.167595511265974,5.623562768062418,1.7639110571388117,0.19451007853952262,10.036486883022967,4.523651044982723
6,Nifty Energy,-6.1524162868857974,-2.3495618927903195,10.342838583454395,-2.4475344040783775,-4.322647325516771,14.755762698414943,3.7774949144155126
7,Nifty Auto,3.1888417812063974,4.404391077170411,-1.7386630870982356,6.893723664013818,2.4313056444439596,2.6742610278623125,3.6440923027037653
8,Nifty IT,-5.24967672723855,5.979328883496993,-0.5174807366935097,-1.54479484443113,4.006243450770541,3.8954433782670383,2.5741638479687223
9,Nifty Healthcare,0.0,0.0,0.0,3.7048818828074204,-1.9730854327264513,4.412924114960548,2.0008102152318163
10,Nifty Oil & Gas,0.0,0.0,0.0,3.7048818828074204,-1.9730854327264513,4.412924114960548,2.0008102152318163
11,Nifty Consumer Durables,0.0,0.0,0.0,3.7048818828074204,-1.9730854327264513,4.412924114960548,2.0008102152318163
12,Nifty Bank,-1.4334237616976164,3.193721223022483,-3.718176477272772,2.271458121109804,1.2206357902960319,0.6947476376877759,1.2729861119561725
13,Nifty Commodities,-4.044101136645195,-3.9793913859464403,3.3612387939419675,-0.33921925383777474,-5.952476818672892,7.7741629089025155,0.9414934635660506
14,Nifty Private Bank,-1.7607030521282319,1.6625838736718856,-3.37834258579488,1.9441788306791885,-0.31050155905456567,1.034581529165668,0.7912017736669663
15,Nifty Consumption,-0.49630370013349356,1.2637933289966874,-3.903457054689463,3.208578182673927,-0.7092921037297639,0.5094670602710849,0.7576791334714983
16,Nifty Infra,-3.797488263661286,-1.8530827974816089,-1.7665732893203279,-0.09260638085386574,-3.82616823020806,2.64635082564022,-0.3037701455301993
17,Nifty PSU Bank,-3.960351832834752,-4.9594462520976546,-2.0660291400202646,-0.25546995002733164,-6.932531684824106,2.3468949749402834,-1.5514955872191565
18,Nifty Financial Services,-3.2209798149266833,-2.99948154781543,-6.049023387556096,0.4839020678807371,-4.972566980541881,-1.636099272595548,-2.273862635257693
19,Nifty PSE,-4.648080887405515,-8.262379328695403,-0.5894895321682636,-0.9431990045980942,-10.235464761421852,3.8234345827922844,-2.2888385845302577
20,Nifty Services,-1.8948018748336404,-3.322341528638173,-9.258250115097155,1.81008000797378,-5.295426961364624,-4.845326000136607,-3.3390098345388157
21,Nifty FMCG,-7.739078595595561,-7.745116887595593,-12.636695642768425,-4.034196712788141,-9.718202320322044,-8.223771527807877,-7.699428601432902
