Ticker,Industry,Sector,Current_Price,High_52W,Pct_From_High,RS_Percentile,Return_3M,Return_6M,Avg_Volume,Industry_Rank
TBZ.NS,Other Consumer Specialties,Consumer Durables,555.2999877929688,555.2999877929688,0.0,99,233.00224175382945,328.43733639488886,1243252.075697211,18
SETL.NS,Medical Specialties,Health Technology,392.04998779296875,410.70001220703125,-4.541033323529864,99,154.44573152513516,222.4360552684676,550230.564,4
CYIENTDLM.NS,Electronic Production Equipment,Electronic Technology,911.0,924.3499755859375,-1.4442555242645039,98,108.68171468877384,216.26455080941244,637190.3625498008,7
MOREPENLAB.NS,Pharmaceuticals: Major,Health Technology,121.33000183105469,122.55000305175781,-0.9955130071990892,98,156.56586906771835,198.47477804844038,8499042.817460317,9
SHILPAMED.NS,Pharmaceuticals: Major,Health Technology,956.6500244140625,980.0999755859375,-2.3926080763195468,98,77.64698041862962,182.66667388042475,865534.5753968254,9
JINDWORLD.NS,Textiles,Process Industries,56.79999923706055,61.9900016784668,-8.372321827519935,98,105.7970958406048,149.78012229006984,6370917.178571428,15
BLISSGVS.NS,Pharmaceuticals: Major,Health Technology,703.0,722.0999755859375,-2.6450597191114866,98,65.87219391948713,244.85985855537012,2402475.657370518,9
MENONBE.NS,Metal Fabrication,Producer Manufacturing,310.0,323.95001220703125,-4.306223701611101,98,91.6926118629769,166.27146539569657,106000.684,11
HFCL.NS,Electrical Products,Producer Manufacturing,253.0,256.70001220703125,-1.4413759373128276,98,54.5698993896857,262.41227452794146,29099453.373015873,20
IOLCP.NS,Chemicals: Specialty,Process Industries,213.47000122070312,219.0399932861328,-2.542910991671543,98,66.98217094475349,194.1168308559701,3458830.9603174604,13
PRIZOR.NS,Wholesale Distributors,Distribution Services,1200.4000244140625,1200.4000244140625,0.0,98,52.451103275915024,211.83270199988235,25143.548387096773,19
INDSWFTLAB.NS,Pharmaceuticals: Major,Health Technology,393.45001220703125,401.45001220703125,-1.992776125729534,98,141.5878734695419,181.4377708284922,823721.32,9
KSHINTL.NS,Electrical Products,Producer Manufacturing,1114.050048828125,1145.050048828125,-2.707305242397595,97,34.86472553611817,197.35755157544097,430307.0617977528,20
SUVEN.NS,Pharmaceuticals: Major,Health Technology,374.79998779296875,403.3500061035156,-7.078224340777572,97,39.4345256003664,175.83159723625923,794951.7569721115,9
