Rank,Sector_Index,Return_1M,Return_3M,Return_6M,RS_Spread_1M,RS_Spread_3M,RS_Spread_6M,Composite_RS
1,Nifty Pharma,1.515320268514997,11.258138846062305,16.845105654082726,5.374370300349662,9.448311968277622,21.41106434492063,13.214927501952834
2,Nifty Realty,12.779283051931746,17.850045102049016,2.73413611484834,16.638333083766412,16.040218224264336,7.300094805686241,12.693697571708617
3,Nifty Media,1.0493757846522955,8.838251992276703,5.847358100058075,4.908425816486961,7.028425114492021,10.413316790895976,7.8523819605523375
4,Nifty Energy,-2.389379405561165,2.8604351213507906,13.093572112264496,1.4696706262735004,1.050608243566109,17.659530803102395,7.798942863057472
5,Nifty MNC,-0.4877833770773998,5.89851291821788,6.492250995389948,3.3712666547572656,4.088686040433198,11.05820968622785,6.697140652332076
6,Nifty Metal,-4.414975929311993,-2.380260869931816,11.722513432559278,-0.5559258974773273,-4.190087747716498,16.28847212339718,4.909876663288767
7,Nifty Private Bank,2.205544706145135,6.068665814659435,-0.9258082113528188,6.0645947379798,4.258838936874754,3.6401504794850825,4.462802504195147
8,Nifty Commodities,-2.1141086053331093,-1.3851335302417334,4.183947753582884,1.7449414265015561,-3.194960408026415,8.749906444420786,2.8179617915844584
9,Nifty IT,-5.525985251772392,5.670274613459436,-0.8075891728982487,-1.6669352199377263,3.8604477356747546,3.7583695179396526,2.4377707096775936
10,Nifty Infra,-0.9778360395531593,1.5568143094925713,-0.0639430507204497,2.881213992281506,-0.2530125682921103,4.502015640117452,2.4325553552151185
11,Nifty Consumption,1.2959477293870814,3.7442794636455945,-3.7148513884321166,5.154997761221747,1.934452585860913,0.8511073024057847,2.30625076631907
12,Nifty Financial Services,1.8875264121738455,2.1249938278002922,-2.779825570631933,5.746576444008511,0.3151669500156107,1.7861331202059683,2.261405791589979
13,Nifty Healthcare,0.0,0.0,0.0,3.8590500318346654,-1.8098268777846815,4.565958690837901,2.157706577069188
14,Nifty Consumer Durables,0.0,0.0,0.0,3.8590500318346654,-1.8098268777846815,4.565958690837901,2.157706577069188
15,Nifty Oil & Gas,0.0,0.0,0.0,3.8590500318346654,-1.8098268777846815,4.565958690837901,2.157706577069188
16,Nifty Auto,1.4045202282879865,2.7176848508968954,-4.6285467857959395,5.263570260122652,0.9078579731122138,-0.06258809495803819,1.6086076176367226
17,Nifty Bank,-1.5764370448011489,3.0439942726605773,-3.857874742249423,2.2826129870335166,1.2341673948758958,0.7080839485884782,1.285845414400334
18,Nifty Services,2.514317265834487,1.114883280984591,-6.496998516684515,6.373367297669152,-0.6949435968000905,-1.9310398258466144,0.5776956351986107
19,Nifty PSE,-1.7750337660913718,-4.938376198396266,1.0960451045765707,2.0840162657432937,-6.748203076180948,5.662003795414472,0.42393450793828114
20,Nifty FMCG,-1.6291684865361922,0.7664673192223193,-8.038930929941335,2.2298815452984733,-1.0433595585623623,-3.4729722391034334,-1.196894354813582
21,Nifty PSU Bank,-3.8028901795002845,-4.726853094472016,-2.371477209881745,0.05615985233438092,-6.536679972256698,2.1944814809561564,-1.3960054348237863
