Rank,Sector_Index,Return_1M,Return_3M,Return_6M,RS_Spread_1M,RS_Spread_3M,RS_Spread_6M,Composite_RS
1,Nifty Realty,12.779283051931746,17.850045102049016,2.73413611484834,16.869118068854373,19.760846999373694,6.293258406464808,13.65087932958031
2,Nifty Pharma,-0.5785646315967563,9.54703250004374,14.099936762280851,3.511270385325871,11.457834397368416,17.65905905389732,11.951683256969343
3,Nifty Media,1.0493757846522955,8.838251992276703,5.847358100058075,5.139210801574922,10.74905388960138,9.406480391674544,8.80956371842403
4,Nifty Energy,-2.389379405561165,2.8604351213507906,13.093572112264496,1.7004556113614622,4.771237018675468,16.652694403880965,8.756124620929166
5,Nifty MNC,-0.4877833770773998,5.89851291821788,6.492250995389948,3.6020516398452274,7.809314815542557,10.051373287006415,7.654322410203768
6,Nifty Metal,-4.414975929311993,-2.380260869931816,11.722513432559278,-0.3251409123893656,-0.46945897260713965,15.281635724175747,5.8670584211604595
7,Nifty Private Bank,2.205544706145135,6.068665814659435,-0.9258082113528188,6.295379723067763,7.979467711984112,2.633314080263649,5.419984262066839
8,Nifty Commodities,-2.1141086053331093,-1.3851335302417334,4.183947753582884,1.975726411589518,0.5256683670829432,7.743070045199351,3.7751435494561503
9,Nifty Infra,-0.9778360395531593,1.5568143094925713,-0.0639430507204497,3.111998977369468,3.467616206817248,3.495179240896018,3.3897371130868104
10,Nifty Consumption,1.2959477293870814,3.7442794636455945,-3.7148513884321166,5.385782746309708,5.6550813609702715,-0.15572909681564884,3.2634325241907627
11,Nifty Financial Services,1.8875264121738455,2.1249938278002922,-2.779825570631933,5.977361429096472,4.035795725124968,0.7792967209845347,3.2185875494616707
12,Nifty Oil & Gas,0.0,0.0,0.0,4.089835016922628,1.9108018973246765,3.5591222916164678,3.114888334940881
13,Nifty Healthcare,0.0,0.0,0.0,4.089835016922628,1.9108018973246765,3.5591222916164678,3.114888334940881
14,Nifty Consumer Durables,0.0,0.0,0.0,4.089835016922628,1.9108018973246765,3.5591222916164678,3.114888334940881
15,Nifty Auto,1.4045202282879865,2.7176848508968954,-4.6285467857959395,5.494355245210613,4.628486748221572,-1.0694244941794717,2.565789375508415
16,Nifty Bank,-1.7848438564073255,-1.0354238059378074,-0.6044691124226231,2.3049911605153017,0.8753780913868692,2.9546531791938446,2.0644913937917675
17,Nifty Services,2.514317265834487,1.114883280984591,-6.496998516684515,6.604152282757115,3.0256851783092675,-2.937876225068048,1.534877393070303
18,Nifty PSE,-1.7750337660913718,-4.938376198396266,1.0960451045765707,2.3148012508312554,-3.0275743010715894,4.655167396193038,1.381116265809973
19,Nifty IT,-8.051149012285276,3.041195092954352,-3.6722252746073214,-3.9613139953626475,4.951996990279028,-0.11310298299085364,0.6976292545606563
20,Nifty FMCG,-1.6291684865361922,0.7664673192223193,-8.038930929941335,2.460666530386435,2.677269216546996,-4.479808638324867,-0.23971259694188962
21,Nifty PSU Bank,-3.8028901795002845,-4.726853094472016,-2.371477209881745,0.28694483742234267,-2.81605119714734,1.1876450817347228,-0.4388236769520941
