Ticker,Current_Price,High_52W,Pct_From_High,Avg_Volume,Return_1W,Return_1M,Return_3M,Return_6M,RS_Composite,EMA_10,EMA_20,SMA_50,SMA_100,SMA_200,RS_Percentile,Sector,Industry
INDOTECH.NS,3666.300048828125,4030.0,-9.024812684165628,37883.3453815261,-0.9991088896971312,-3.330170478721861,42.66314596473029,177.53974631552802,0.8304889733091622,3676.074822101034,3660.973704768935,3511.72599609375,3059.0829956054686,2260.841996459961,97,Producer Manufacturing,Electrical Products
BHAGYANGR.NS,402.3999938964844,432.29998779296875,-6.916491959468585,230733.192,4.600982876997595,2.3397714658790703,27.664967738699843,158.5785930615552,0.7265898012710761,384.03088365688865,384.0437110687644,386.5090002441406,347.3159002685547,251.872850151062,95,Producer Manufacturing,Electrical Products
UNIHEALTH.NS,724.0,820.0,-11.707317073170731,37811.740890688256,0.8426753520583752,-6.881028938906752,57.15215559287763,127.49410840534172,0.6685135178742447,721.7639582716439,724.2535870258823,720.5580004882812,599.2120001220703,461.7427505493164,95,Health Services,Medical/Nursing Services
CPPLUS.NS,3881.39990234375,4094.0,-5.192967700445772,265221.4880952381,4.299457306354837,1.994479105078173,15.025983960682442,145.3194692202509,0.6346442442795621,3723.503403586943,3652.8926664736327,3582.999306640625,3254.222626953125,2428.80436340332,94,Consumer Durables,Electronics/Appliances
AEGISLOG.NS,1338.0,1497.800048828125,-10.668984084568045,1364317.232,9.735089511884954,0.32241500978886783,45.27804753782454,108.11162681192785,0.5786605693926478,1288.5305207008837,1295.9926687753396,1311.5662890625,1060.0733990478516,874.541517944336,93,Distribution Services,Wholesale Distributors
RPTECH.NS,797.8499755859375,965.4798808795799,-17.36234059490983,490582.7619047619,-1.0234462535497868,-9.925136835234882,43.210000705534156,128.84092941603518,0.6241199998567236,819.1161848493256,822.9053651563391,811.5625146484375,692.6620700073242,527.177176361084,93,Distribution Services,Electronics Distributors
EXICOM.NS,173.6199951171875,187.60000610351562,-7.452031200155773,2109341.653386454,6.528408190312995,13.314184658633144,27.878021399166975,101.90719784904125,0.5244196331012452,169.29205891840067,164.95465489360546,162.6351983642578,150.89839935302734,126.5908995437622,91,Producer Manufacturing,Electrical Products
VENUSREM.NS,1694.0,2031.2182849222206,-16.601774778486366,65872.4297188755,5.815477179470507,11.257062075552904,-0.5941323148180633,125.50228081966507,0.5285563276647824,1663.1982535231916,1663.1397703934047,1670.7084326171876,1493.8909973144532,1140.3547967529296,91,Health Technology,Pharmaceuticals: Major
DEEDEV.NS,678.0499877929688,760.0,-10.782896343030423,1416510.564,9.39819315057122,8.280098143593628,8.409940772137414,119.36265752317526,0.5286388418468718,650.0095559800565,645.912512367622,659.307998046875,611.1765014648438,428.20810050964354,91,Producer Manufacturing,Industrial Machinery
DPEL.NS,600.75,603.0,-0.3731343283582045,53925.70281124498,4.080039378883771,8.067993095199256,22.60204081632653,107.08375986232693,0.5163571874675696,579.8019532194495,573.8226427167099,562.4810015869141,526.8774993896484,420.17549949645996,90,Producer Manufacturing,Electrical Products
SENORES.NS,1486.300048828125,1599.0,-7.048152043269229,308932.2111553785,2.172275982465921,4.507108694767736,28.05204715719296,95.64302026404113,0.47791471589974477,1467.8828376746312,1461.5035721210288,1424.0740063476562,1254.1700012207032,1025.607000732422,89,Health Technology,Pharmaceuticals: Major
PARACABLES.NS,68.80999755859375,75.69999694824219,-9.101716865800258,1770832.353174603,7.24749630778232,1.3551306189665269,7.314402075975779,110.87954430327062,0.4754191409867252,65.68926314217472,64.9233547588166,65.17660011291504,62.08679992675781,48.95284999847412,89,Producer Manufacturing,Electrical Products
ORCHPHARMA.NS,1000.9000244140625,1133.0,-11.659309407408426,117852.124,3.0899164945541013,-0.094819703051785,17.621483054935226,100.60126263685815,0.4581697768006889,970.1986570057195,981.1623530765247,999.81,887.4519958496094,785.0212484741211,88,Health Technology,Pharmaceuticals: Major
HIRECT.NS,1306.9000244140625,1397.5377365248423,-6.485528779792538,138989.988,6.9563792701256455,-0.2518643627532513,24.206533586476887,84.4448766752485,0.41685175800504376,1248.4971973787738,1249.7342748003405,1231.1925561523437,1128.7009075927735,921.6158908081055,86,Producer Manufacturing,Electrical Products
APOLLO.NS,418.6000061035156,466.5,-10.267951531936625,9790911.174603175,9.395011833387489,7.692305880494521,2.247194026426258,96.84002581351388,0.4188813089277108,398.68836444711,394.3324695759173,395.97399963378905,382.3142993164063,310.1344497680664,86,Electronic Technology,Electronic Production Equipment
IKIO.NS,220.75,248.8800048828125,-11.302637548588034,664815.6613545817,6.370163975552412,11.653428002497158,46.551147078392276,63.627599145933104,0.42384085779945596,210.361013871809,206.2808653768114,202.97599975585936,180.18339950561523,167.39864974975586,86,Producer Manufacturing,Electrical Products
STOVEKRAFT.NS,833.4000244140625,873.3447454599583,-4.573763253691798,223095.93975903615,-1.449827445143026,4.932366690523038,28.347235460104937,79.20515922565417,0.4102772492188345,823.2529035987255,808.2198548576567,785.5257495117188,695.7318408203125,616.0698913574219,85,Consumer Durables,Electronics/Appliances
OFSS.NS,11654.0,12540.0,-7.065390749601274,232682.88095238095,-4.145418654383947,-2.0342972427706774,24.94237469847227,76.49989166292602,0.3726126776071956,11911.666440916493,11857.47185139924,11591.46,10638.8175390625,8917.2865234375,84,Technology Services,Packaged Software
PANAMAPET.NS,484.54998779296875,595.8726432274872,-18.6822900329087,347396.3027888446,-1.0617686997511533,-10.617610123223443,29.246114920264187,76.94828305022583,0.37323448801549786,483.7880284192081,481.5259472412713,465.1085986328125,402.6498114013672,341.7407221984863,84,Process Industries,Industrial Specialties
NELCO.NS,988.0,1120.0,-11.785714285714288,260951.59760956175,6.885922658646182,-1.9452139798375567,40.06237110931177,64.8942718887592,0.3827596955819432,950.7230040838051,950.2558806483157,942.6289990234375,836.2978912353516,754.8419792175293,84,Electronic Technology,Electronic Production Equipment
GOCLCORP.NS,434.0,459.8999938964844,-5.6316578039168235,181375.408,12.043369862247433,1.3545043502157794,13.627434514848424,78.56407922265245,0.36989099899783406,415.1464975715711,409.8969359249682,405.27300048828124,384.67450134277345,329.7740007019043,83,Process Industries,Industrial Specialties
ASTRAMICRO.NS,1766.0,1960.0,-9.897959183673466,557793.7142857143,7.564864628949541,3.656750050692459,22.316106127949766,71.5812484819043,0.368151677041801,1716.3601324289702,1714.1233613682246,1747.30599609375,1543.6039916992188,1248.0279968261718,83,Electronic Technology,Telecommunications Equipment
SANGHVIMOV.NS,445.0,525.873954285097,-15.37896175045248,444037.19920318725,-2.849031359185872,-12.632169086797019,20.33372155117359,84.13314881832481,0.3694203903940402,451.5052988399266,458.1632797871828,456.6192022705078,407.49796600341796,351.0466268920898,83,Finance,Finance/Rental/Leasing
ORIENTHOT.NS,140.57000732421875,148.78278132938067,-5.5199761234333895,807204.203187251,1.384791570324806,11.457345593840241,36.70889269295519,55.541939561080596,0.35659391908119326,139.31517511485987,137.30288531989427,134.3934895324707,120.62459503173828,111.28383777618409,82,Consumer Services,Hotels/Resorts/Cruise lines
UNICHEMLAB.NS,540.9500122070312,687.2000122070312,-21.282013591690617,257621.65338645419,-2.7680352394528818,6.664698554141335,16.93687960868364,66.75401429867097,0.32838805788956454,548.8709372968843,542.548529046315,539.6939971923828,466.39399810791014,425.8897492980957,81,Health Technology,Pharmaceuticals: Major
GRWRHITECH.NS,6930.5,7990.0,-13.260325406758444,81559.94,-2.9001751313485147,-0.6094937616520912,11.638208762886592,76.3755324538538,0.33629759344942234,7103.130667147806,7107.643853234687,7047.75,6284.4769995117185,4959.6080004882815,81,Process Industries,Chemicals: Specialty
CAPLIPOINT.NS,2731.800048828125,2877.300048828125,-5.056824020117734,117666.84738955823,8.516729752979014,6.126410985938846,18.290472172259655,64.41682805479066,0.3333082804607983,2677.9074200484156,2623.6267032914125,2582.0840087890624,2320.129040527344,2047.8738708496094,81,Health Technology,Pharmaceuticals: Major
TALBROAUTO.NS,419.0,451.6000061035156,-7.2187789333295616,209500.1952191235,1.9961081915035983,-0.7226603201478832,17.416279342434926,69.63562753036436,0.33134213569997006,415.14554985507175,414.1566877486283,411.7669995117187,377.96299896240237,321.504098815918,81,Producer Manufacturing,Industrial Machinery
TINNARUBR.NS,1075.3499755859375,1317.7581839116879,-18.395500121742813,65935.104,5.745095303044634,-3.7463065990948174,24.194030337867602,66.81791360650573,0.3381062275444807,1030.176749299845,1035.458987406986,1040.7301623535157,926.2032000732422,819.6914984130859,81,Process Industries,Industrial Specialties
BHEL.NS,427.79998779296875,446.5,-4.188132633153696,12767773.36904762,0.07017258315058506,6.153843124806135,13.314844894185374,67.81230840670453,0.32357162714213705,426.1464243664526,423.4829911111621,413.17893981933594,402.49352172851565,336.5497504425049,80,Producer Manufacturing,Electrical Products
AEGISVOPAK.NS,292.5,311.489990234375,-6.096500956607409,1137283.3373015872,2.1655649568223634,4.259494823378751,34.36422202681708,51.4526131060495,0.3195876731082291,282.8366902401452,279.49409745956655,280.3669009399414,244.44821365356447,232.04333549499512,80,Transportation,Air Freight/Couriers
KIRLOSENG.NS,2249.0,2714.2611782271474,-17.141356254118424,614042.392,5.177007372400477,5.527404820150772,25.35485543864009,56.81568908633481,0.3195591396739615,2187.986409351587,2164.7960858936895,2205.1068139648437,2033.8284301757812,1661.3118890380858,80,Producer Manufacturing,Electrical Products
GABRIEL.NS,1368.5,1596.6964052725275,-14.291784243954531,455922.76,-4.826484681530118,-8.565716613188135,35.159817571803956,56.786311585108876,0.31066678114794094,1381.0400292011593,1395.2668540607704,1383.8068408203126,1237.2889965820314,1095.6420703125,79,Producer Manufacturing,Auto Parts: OEM
SGFIN.NS,670.5,727.4500122070312,-7.828718296979476,329135.18253968254,-0.6077639689174852,1.5601314151049817,9.603596240294232,70.17766497461928,0.31203394748065233,677.9285611831759,678.330167111864,672.175,625.4225,515.4130001831055,79,Finance,Investment Banks/Brokers
TATVA.NS,1687.0,1838.0999755859375,-8.22044380571687,124158.26294820716,5.109034267912782,-4.989861275296537,46.30127792195693,45.89638750856435,0.31761869551744787,1650.3735148456362,1646.0284126055017,1588.3319995117188,1409.8519982910157,1337.6254974365233,79,Process Industries,Chemicals: Specialty
STYL.NS,378.0,434.70430029318214,-13.044338474438478,269983.83050847455,-2.275074475358796,-7.941059346012569,46.05012841861047,47.24300598027782,0.30896521600955873,386.0017822175561,386.8063889604221,376.94769287109375,322.165407409668,291.1272510528564,79,Technology Services,Packaged Software
GNA.NS,553.5999755859375,601.6500244140625,-7.986378605223221,239530.084,2.547003912536283,5.00758019112848,56.07221438626564,29.546462934779804,0.29896465919270937,544.9143091091429,543.2110876494806,526.1200006103516,460.7490411376953,414.212587890625,78,Producer Manufacturing,Auto Parts: OEM
SHRIPISTON.NS,4412.5,4785.7998046875,-7.800155040373147,96960.868,-4.038540894800679,0.04307582418907607,26.179520835336124,57.16105582149642,0.30323039654557155,4518.3511109661185,4506.827301503163,4391.366884765625,3963.608039550781,3492.2107385253908,78,Producer Manufacturing,Auto Parts: OEM
HESTERBIO.NS,2310.0,2683.60009765625,-13.921600986023863,13547.578313253012,2.262167420664829,-4.462546288171776,19.638390052792953,59.759507046177454,0.2912902731874099,2302.8593186235157,2334.217851526097,2361.831689453125,2112.0329296875,1813.8945697021484,77,Health Technology,Pharmaceuticals: Major
HONASA.NS,470.20001220703125,506.64561650495574,-7.193510238841272,1530031.188,-0.6969351199511586,-0.83263821307753,13.28324734377404,63.68361364646815,0.29222198507108854,473.1702638095518,472.51327942698305,466.33256469726564,424.3305892944336,356.150837097168,77,Retail Trade,Specialty Stores
VMART.NS,818.0499877929688,886.8128854091074,-7.753935328129192,631031.0200803212,-3.469234053993986,2.339402361690679,18.570618221167944,58.45731088649772,0.2907506688788821,832.6724609177854,824.5364018843129,793.987919921875,736.1519409179688,686.4040885925293,77,Retail Trade,Specialty Stores
EMSLIMITED.NS,391.70001220703125,589.0,-33.49745123819503,561199.972,4.523018600942286,-3.1404505146219175,29.766441705057556,51.96896690864452,0.29541731032144924,384.1730844313948,386.05871627301894,401.70599853515625,372.37249938964845,365.0272494506836,77,Industrial Services,Engineering & Construction
JNKINDIA.NS,437.29998779296875,558.0,-21.630826560399864,538160.6812749004,3.8964110559045917,4.417383127801178,-13.242734176479454,81.20415384536592,0.2978195901635323,438.4590198363397,441.02373291821846,457.1630004882812,433.81339935302736,337.2573998260498,77,Producer Manufacturing,Building Products
LXCHEM.NS,182.0,240.59049253763015,-24.35278797580339,1128660.346613546,10.369925249512214,2.264425887315258,23.365671840158917,48.97024261342187,0.28087676299830694,175.19748982619265,174.42044793089534,173.24101654052734,163.18139389038086,154.48652072906495,76,Process Industries,Chemicals: Specialty
RADICO.NS,4428.60009765625,4747.0,-6.707392086449337,403761.85657370515,-1.0634041280391582,-2.5610539569581925,25.31908980138915,53.36647845688156,0.28323767118973814,4501.922871667694,4510.566100728923,4366.848056640625,3947.3742602539064,3436.9345556640624,76,Consumer Non-Durables,Beverages: Alcoholic
ARMANFIN.NS,2050.89990234375,2158.60009765625,-4.989353768186988,41649.57429718875,3.5441991670844164,0.9301133043184029,27.9014594539289,48.272120788190165,0.2821972872902686,2000.5156395070856,1983.0254983362968,1929.6900048828124,1791.5510021972657,1665.5030017089844,76,Finance,Finance/Rental/Leasing
SPAL.NS,1024.9000244140625,1218.4508944923061,-15.884995526134094,118098.55823293173,-2.1374666321341884,-0.8488097992207511,28.72456147155995,49.923600574482265,0.28203300048203317,1022.6414888396412,1006.7290888642176,1027.3465051269532,930.778032836914,821.7622128295899,76,Consumer Non-Durables,Apparel/Footwear
GRANULES.NS,892.0,908.1083439738012,-1.7738350363914246,1065591.1633466135,7.243763149984961,3.600464576074325,16.623145370757463,52.483468860023265,0.2742480038544991,862.3622572005469,854.8582983927513,855.1525231933593,803.6418780517578,695.9706936645508,75,Health Technology,Pharmaceuticals: Other
NUVAMA.NS,1798.9000244140625,2066.0,-12.928362806676553,544760.38,2.5832601196854377,9.508740359476908,18.17764302443765,50.28994622270355,0.27729345480276646,1794.673240904776,1779.206945046835,1805.5099926757812,1665.8590576171875,1498.052626953125,75,Finance,Investment Managers
INDNIPPON.NS,1138.0,1278.199951171875,-10.968546121703204,50980.63453815261,8.319058294791803,-2.401372212692965,29.908675799086758,43.777637397346815,0.2683528908560534,1103.6459997825414,1105.5737973012538,1124.3479956054687,984.8809967041016,882.3947747802735,75,Producer Manufacturing,Auto Parts: OEM
EMMVEE.NS,337.45001220703125,371.54998779296875,-9.177762537012468,3782523.0975609757,3.9267014230570663,5.983046066495934,-1.7755714750930185,63.516993841769384,0.26463405449784744,328.0382394480659,326.46439048913453,328.7510021972656,314.39110107421874,262.0563505554199,74,Electronic Technology,Semiconductors
PNBHOUSING.NS,1159.199951171875,1211.5,-4.31696647363805,1197931.107569721,0.6249957614474777,0.8613853583182562,22.470531527130923,47.63635543888438,0.2603047828150143,1159.4570207633055,1152.5334200257173,1115.78072265625,1070.7832006835938,968.12302734375,74,Finance,Finance/Rental/Leasing
LODHA.NS,1204.5,1340.2415520455131,-10.128140844338152,2079026.736,0.4922429946803808,-1.1651720473296656,40.22407682601552,35.988251326356455,0.26278713468349346,1224.04318867933,1224.4127851190203,1193.7972045898437,1046.399453125,1016.0221362304687,74,Finance,Real Estate Development
NPST.NS,1677.0,2197.7059983294785,-23.693159991612976,36888.342741935485,0.38309736068431466,11.398961923939677,1.593266469139576,58.83689358239468,0.26330839494556113,1671.2896630038276,1640.1415013279009,1597.4799951171874,1453.471498413086,1372.1717504882813,74,Technology Services,Packaged Software
SAREGAMA.NS,501.70001220703125,574.5,-12.671886473971927,1330590.1004016064,4.54261691765081,-3.3705700286119966,14.530310737993846,55.27700486836118,0.26250042854785305,495.67957327288866,500.9259610397324,503.82599975585936,456.9419989013672,401.8397485351563,74,Consumer Services,Movies/Entertainment
PWL.NS,124.12999725341797,161.99000549316406,-23.371817368907845,17088288.710784312,7.99547121699129,-2.658406115816625,17.15903806401895,48.99772043098982,0.2501466549013742,122.69673114294504,122.76397862648949,128.30379913330077,119.6819994354248,116.17774955749512,73,Commercial Services,Miscellaneous Commercial Services
BLUEJET.NS,580.7000122070312,743.0927273812581,-21.853627305237787,689260.2896825396,0.060314747276479785,-1.6929066858551445,13.307319455030498,54.97731339442278,0.25650571331834876,579.9373723639034,582.7742045766976,586.8290014648437,530.275,488.8937498474121,73,Health Technology,Pharmaceuticals: Major
JSFB.NS,535.4000244140625,606.9500122070312,-11.788448200667133,570225.657370518,1.0570095791097023,-0.8059241474640988,15.6871301936099,50.6047888647152,0.248925707323872,539.8957269158867,544.3632234583462,532.3119970703125,500.53299896240236,447.78074966430665,73,Finance,Regional Banks
NEOGEN.NS,2250.5,2483.89990234375,-9.39650998510525,156124.08366533864,4.484892615071634,3.151394080810377,10.98677906076393,51.19452153161647,0.2485261040854501,2188.203398735865,2175.040774080935,2123.70775390625,1963.1838623046874,1605.0913143920898,73,Process Industries,Chemicals: Specialty
ANANDRATHI.NS,2205.5,2242.0,-1.6280107047279224,518378.104,0.05898053066528686,4.948846062336432,26.935251798561154,40.26192848413652,0.2518101419875677,2197.4374385570695,2176.1734285535267,2113.333994140625,1956.9833239746094,1744.2656134033202,73,Finance,Investment Managers
NYKAA.NS,340.6499938964844,349.54998779296875,-2.546129082331894,6216987.676,-2.546129082331894,2.6054198483386637,29.820884839985663,36.42370767312997,0.2378221958268223,336.6403975809266,334.45174651589997,328.5359997558594,301.03139923095705,278.28879959106445,72,Retail Trade,Internet Retail
ZYDUSWELL.NS,558.7000122070312,611.8499755859375,-8.686763994393765,1025403.623015873,4.508050452991386,10.3932040049723,10.635597980631694,45.671644213756664,0.23988782925985774,541.49789527878,535.2208158512777,548.2789404296875,527.8945434570312,479.1264097595215,72,Consumer Non-Durables,Food: Major Diversified
