Ticker,Industry,Sector,Current_Price,High_52W,Pct_From_High,RS_Percentile,Return_3M,Return_6M,Avg_Volume,Industry_Rank
CYIENTDLM.NS,Electronic Production Equipment,Electronic Technology,976.25,1009.0,-3.2457879088206187,99,126.06228695200947,224.12017278703496,655840.8293650794,7
SETL.NS,Medical Specialties,Health Technology,404.5,412.79998779296875,-2.0106560170567223,99,154.5626277767588,228.40789641416595,556252.0396825396,5
BIRLACABLE.NS,Electrical Products,Producer Manufacturing,339.8999938964844,376.54998779296875,-9.733101868173454,98,85.0111144443924,157.65824037391275,74998.42629482072,19
SHILPAMED.NS,Pharmaceuticals: Major,Health Technology,959.9000244140625,980.0999755859375,-2.061009251612189,98,75.67493873941882,185.86391574258948,866269.4624505929,13
PRIZOR.NS,Wholesale Distributors,Distribution Services,1224.4000244140625,1224.4000244140625,0.0,98,48.09797694757334,217.57231569970546,25073.092369477912,15
BLISSGVS.NS,Pharmaceuticals: Major,Health Technology,722.2999877929688,725.9000244140625,-0.49594110759255683,98,65.7803363750725,224.5063422031837,2395696.753968254,13
MOREPENLAB.NS,Pharmaceuticals: Major,Health Technology,117.16000366210938,122.55000305175781,-4.398204206793876,98,133.75899074007336,192.09673866689693,8565967.802371541,13
INDSWFTLAB.NS,Pharmaceuticals: Major,Health Technology,388.29998779296875,401.45001220703125,-3.2756318381380267,98,144.78344313222732,172.24284827866572,830912.1035856573,13
IOLCP.NS,Chemicals: Specialty,Process Industries,210.97999572753906,219.0399932861328,-3.679692204913898,98,57.16625975427485,194.58250158697155,3466861.442687747,11
JINDWORLD.NS,Textiles,Process Industries,55.529998779296875,61.9900016784668,-10.421040045581908,98,85.9055815839141,153.79342280263276,6680291.612648222,17
HFCL.NS,Electrical Products,Producer Manufacturing,250.75999450683594,256.70001220703125,-2.313991981973351,98,45.90945747484887,247.98779212133172,29067276.486166008,19
NOVARTIND.NS,Pharmaceuticals: Major,Health Technology,1822.0,1873.699951171875,-2.7592438767765404,97,39.98156378112987,171.03012272220158,41587.32380952381,13
INDOTECH.NS,Electrical Products,Producer Manufacturing,3696.800048828125,4030.0,-8.267988862825682,97,46.50655797137557,167.30296810037055,37805.89243027889,19
KSHINTL.NS,Electrical Products,Producer Manufacturing,1176.75,1190.199951171875,-1.1300581182709823,97,43.51484632978815,183.65673922790563,433922.4222222222,19
DEEPINDS.NS,Oilfield Services/Equipment,Industrial Services,818.7000122070312,825.0,-0.7636348839962115,97,63.18909978581826,136.73348763671305,375069.4682539682,2
MENONBE.NS,Metal Fabrication,Producer Manufacturing,291.04998779296875,323.95001220703125,-10.155895408034931,97,76.66220648495663,152.07568514082763,106083.36254980079,12
BHAGERIA.NS,Chemicals: Specialty,Process Industries,335.79998779296875,339.0,-0.9439564032540537,97,65.32154934930192,124.32825846478535,210459.29482071713,11
CONFIPET.NS,Specialty Stores,Retail Trade,82.48999786376953,88.2699966430664,-6.548089950279712,96,17.140017052921475,178.87085218570354,2444389.8893280635,8
DIACABS.NS,Electrical Products,Producer Manufacturing,336.25,379.0,-11.279683377308702,96,73.56630744621519,141.57625842527634,3258152.119047619,19
