Ticker,Current_Price,High_52W,Pct_From_High,Avg_Volume,Return_1W,Return_1M,Return_3M,Return_6M,RS_Composite,EMA_10,EMA_20,SMA_50,SMA_100,SMA_200,Days_Since_Peak,Max_Base_DD,Prior_Leg_Gain,Vol_Dry_Up,RS_Percentile
KABRAEXTRU.NS,723.1500244140625,733.0,-1.343789302310705,110913.0,24.8640238158822,49.31861297572419,201.63927915430136,213.59497193137224,1.5827989749557236,644.3187524137408,597.4919973894066,469.0200006103516,354.35289978027345,290.71794982910154,0,0.0,118.67251216227417,False,99
BODALCHEM.NS,172.39999389648438,189.67999267578125,-9.110079843177488,598199.544,14.353940155302425,150.65425553391788,159.9909519588595,286.89404978299626,1.943211506231702,150.27818163164372,126.65953739781042,85.37420066833496,77.2234001159668,64.7287001800537,2,-16.801980360502576,190.54504024068217,False,99
TBZ.NS,526.2999877929688,583.0499877929688,-9.73329923473919,1281348.90438247,20.393456511769912,123.68582551847283,182.22824146720473,290.8191991330538,1.977726628482545,454.55573377956125,391.96683723435297,293.527526550293,226.88681838989257,189.8535940551758,2,-18.32604027493405,104.33920097732607,False,99
MOREPENLAB.NS,115.77999877929688,122.55000305175781,-5.52427915452739,8580406.325396825,1.7935651080024817,43.13264884770582,121.46136473351699,203.80476758073925,1.2676620273269221,112.37948217037236,104.20236193111305,80.21000022888184,63.59710010528565,51.64795009613037,3,-9.416565180054326,87.27621657650562,False,98
PVP.NS,64.81999969482422,71.9000015258789,-9.84701207343701,1321194.0996015936,-4.592291189969899,76.76575656259037,113.36406018909373,169.52183680296318,1.167118749714345,63.295364651083624,57.4608654070353,40.537800064086916,35.12470006942749,33.0132999420166,8,-17.329628142893995,138.75228461869264,False,98
WELCORP.NS,2676.60009765625,2784.800048828125,-3.8853759435046986,963737.0515873015,3.3196941541770775,42.07760831091534,95.47879614767827,235.60205609696666,1.3163195236069094,2580.573352972801,2413.212226694849,1969.786005859375,1662.56447265625,1246.0544940185546,1,-6.4026158324421045,64.89904408217042,False,98
NOVARTIND.NS,2391.300048828125,2588.800048828125,-7.6290171614220466,68674.18691588785,45.217715414781836,54.44681091614307,80.68001880076501,255.7158867724991,1.4190149407393595,1953.2454269102877,1786.6170745316715,1623.873994140625,1463.289996948242,,1,-13.778582526423499,52.123795605254486,False,98
CUPID.NS,280.0,299.0,-6.35451505016722,28984948.46031746,-1.1124824172293546,-5.039675130501308,69.8101771098545,267.21311475409834,1.267091157667725,279.24006755035407,275.8919929733215,251.76939910888672,197.87169914245607,141.74760963439942,20,-21.367892772457676,66.10898028733823,True,98
BLISSGVS.NS,720.9500122070312,725.9000244140625,-0.6819137678121479,2403574.697211155,12.76296859889776,47.267905256678674,64.34112981452841,245.2970520434955,1.2815103767298224,666.7752122214393,622.3158645068827,536.6960632324219,456.98173889160154,325.9397691345215,3,-6.874228231958135,37.81721454679443,False,98
INDORAMA.NS,86.5,90.0,-3.888888888888886,396233.1468253968,18.558115522796005,51.568250328630796,88.24809263064424,164.76891597203442,1.0455145579601282,76.27542152919716,70.22819925393328,58.82620002746582,50.35120002746582,45.4884001159668,1,-11.111111111111116,62.16269318525287,False,97
INDSWFTLAB.NS,385.3500061035156,404.0,-4.616335122892168,831328.332,3.394149042704475,28.450002034505207,138.1055454913502,168.59273912650426,1.1489817460917826,370.9009604938622,348.58762326791896,282.8110015869141,219.44850036621094,169.37940013885498,2,-7.8465376750077365,69.03766934710028,False,97
RAYMOND.NS,1002.7999877929688,1024.5,-2.1181075848737185,733978.7091633466,32.31296417601253,62.01631279030404,69.4205011708974,165.32608953685144,1.0259114514167187,794.9792847070839,729.2174817078392,644.2329968261719,587.8264984130859,496.88800003051756,0,0.0,63.41561931012423,False,97
HFCL.NS,233.69000244140625,256.70001220703125,-8.963774316873497,29032722.833333332,0.9721742033638403,2.784131691617575,23.658592297952865,224.70473597016172,0.9763351583611044,237.12315829106308,233.37849542343804,220.4521990966797,194.54849952697754,132.7508498573303,9,-15.212316499249956,10.73127349061609,True,97
PRIZOR.NS,1217.1500244140625,1248.8499755859375,-2.5383314082223496,25113.253012048193,3.4200016284338997,41.504387591361144,41.323660309325106,215.32384052177784,1.0716951198262428,1171.742723072883,1096.452599419183,934.1169995117187,839.0245007324219,584.3019997406005,2,-3.955641220306294,55.619934652453274,False,97
BIRLACABLE.NS,392.3500061035156,393.3500061035156,-0.25422651188082845,88067.356,9.39635097742617,33.37525519061788,93.7160716901007,190.2039403011488,1.1181108376335593,349.05892680314327,320.52484764620726,251.4094451904297,218.43471420288085,176.58807914733887,0,0.0,110.0050342959369,False,97
RPEL.NS,1845.199951171875,1943.699951171875,-5.067654600732663,100722.94422310757,2.102700366683763,32.86289503869633,53.461204489314525,175.98477616542937,0.9321512085737376,1741.7529292037948,1673.3299359108994,1453.8019946289062,1220.8563659667968,1005.4054318237305,5,-15.851210748870015,39.584461213281074,False,96
IOLCP.NS,194.30999755859375,219.0399932861328,-11.290173705965268,3042713.396825397,-2.820704914093286,17.040111166185223,54.14088634126526,182.3452461787897,0.9230631611572316,199.6502090699615,190.19291726563083,169.54839935302735,145.3188996887207,111.56014427185059,3,-12.344774522892887,21.406374271809447,False,96
WHEELS.NS,2230.10009765625,2498.0,-10.724575754353483,183296.6865079365,29.28865824636999,64.7532607771287,40.38836956892602,149.5810370117785,0.8782844365545194,1972.1352426493077,1785.7121809293094,1538.8100048828126,1513.7760888671876,1199.7125088500977,1,-12.890312249799841,55.9676331759946,False,96
JINDWORLD.NS,52.880001068115234,61.9900016784668,-14.695919283248005,6755222.246031746,-8.050769237606426,47.79207063224611,74.69441780121457,151.09212919796713,0.9159851422223981,50.73818533819301,46.09759164812089,38.243800201416015,33.474600086212156,29.83435004234314,4,-16.099375845637876,96.57373045992794,False,96
PAISALO.NS,84.2300033569336,84.5999984741211,-0.437346482105061,10372019.944444444,13.807749325541208,20.57698343996126,41.94839893970019,172.3007676575543,0.8700099836547815,76.95834859236355,73.81324304444745,71.26711654663086,62.65787963867187,49.27979955673218,0,0.0,17.5352588902568,False,96
FCL.NS,57.720001220703125,62.400001525878906,-7.500000305664834,12809263.242063493,12.05591749470878,38.693412431574274,33.440361114697524,162.63489892707463,0.8403034214102485,54.70370239234155,51.310325133005755,43.83873596191406,39.49869276046753,31.374277381896974,2,-9.40705545359256,50.20650475261008,False,96
ATHERENERG.NS,1656.0,1744.0,-5.045871559633031,3883960.801587302,4.545454545454541,8.483458892892237,65.9235529536937,134.89361702127658,0.7588574992774265,1613.1296534830922,1567.7472292769512,1411.0539990234374,1194.1199993896485,955.1129989624023,8,-10.498851811120268,51.28879646867253,False,95
E2E.NS,610.3499755859375,698.0,-12.557310087974571,1442790.438247012,2.977891516010467,-3.3338688650922044,63.23883004793929,160.5327034852006,0.8281574578704465,609.6815194938391,604.7330243563883,541.1940026855468,454.4941015625,342.00315063476563,18,-17.893986305739617,53.4667893194348,True,95
MARINE.NS,419.1499938964844,449.66979114957604,-6.787157566237245,658914.5099601593,-2.542333433950672,20.88121158738239,70.06194609125606,129.9028754709155,0.7690174298982443,412.61232877973987,393.8105887234111,326.81216796875,286.20241119384764,240.41544494628906,5,-13.269690854044446,73.4784276104134,True,95
SKYGOLD.NS,827.4000244140625,868.7999877929688,-4.765189221983701,1107422.4285714286,5.880096166005,6.906132355319783,56.113212153596706,147.3542673883595,0.7774490668908727,808.5042524405001,791.8491152304393,721.6439990234375,608.8389993286132,476.4569990539551,12,-15.630753879030824,60.35166126632308,False,95
SBCL.NS,1087.0,1215.699951171875,-10.586489787041165,347065.984,-5.96072523218335,6.090196701694484,50.07579880309518,157.15384332153891,0.7850624378666468,1090.5211560068349,1048.817710461862,896.64814453125,790.8761267089844,618.1547079467773,4,-12.297442296998472,50.37057036367079,True,95
CONFIPET.NS,89.22000122070312,91.30000305175781,-2.2782056533728,2529402.464285714,8.17167505995615,20.894305597969787,28.07923705182511,144.17076897989318,0.7108810733309439,84.70458026059683,81.93516495588335,77.83780044555664,71.84640018463135,54.50895017623901,2,-9.11281425709003,20.318520899833192,False,94
BHAGERIA.NS,317.04998779296875,342.0,-7.295325206734282,212084.864,9.271064781094363,54.394924942512965,47.182314368180414,111.0078310230294,0.7036391818627792,291.31796405008754,266.06391122738455,226.1772262573242,204.3219941711426,183.44932540893555,2,-15.804089997944082,55.44029818236209,False,94
RATNAVEER.NS,288.29998779296875,314.8999938964844,-8.447128173733699,2605179.12,0.7689554849772184,37.27917496021096,73.80032511853433,104.6132010515028,0.7151810849670134,292.48524454610646,276.4316991953414,224.84902923583985,199.24791427612305,174.53210693359375,8,-11.98793290939516,70.03944376173533,True,94
DEEPINDS.NS,774.4000244140625,825.0,-6.133330374053026,376161.7091633466,3.967248411987856,11.672387691874375,54.297640533732604,127.82867863435348,0.7015196599343484,751.2192227164529,713.1157262926461,602.4309625244141,541.2073016357422,474.6457386779785,2,-7.878787878787874,70.90231934591911,False,94
INDOTECH.NS,3522.89990234375,4030.0,-12.5831289741005,37831.32,-2.4316628358894476,-0.4549335308349778,31.62338510531477,156.1363850378401,0.7160741655697453,3638.090099839389,3644.688367167848,3534.2179931640626,3099.6419921875,2289.4424951171877,13,-14.08684742361973,24.942412786603228,True,94
SIGACHI.NS,37.93000030517578,46.62345355852283,-18.646094593646577,6475699.564,16.52842148761009,43.02413141200327,77.16020819944328,95.01284738995285,0.714108698469758,34.73667510205064,32.67564190169077,27.879400024414064,24.739699993133545,25.165599985122682,247,-64.28836058308977,16.339519624968666,False,94
ACCENTMIC.NS,706.9000244140625,714.0,-0.9943943397671573,44797.18875502008,16.381296674458355,26.130789368763963,57.39763517250771,108.75019251786146,0.6758365510009552,641.5697660584457,613.6682154158556,553.3798486328125,502.3763638305664,425.2840185546875,0,0.0,38.93475655933012,False,93
ANTELOPUS.NS,1139.3499755859375,1218.300048828125,-6.4803472115205984,554401.7142857143,19.03567325126614,41.56933310976021,50.89729077624223,109.94102634206206,0.6946303171677616,1027.3437118346617,950.5331705330732,859.4140002441407,814.8024969482422,661.3349980163574,2,-10.490030674385597,41.35138905703744,False,93
AEROFLEX.NS,563.9500122070312,584.1500244140625,-3.4580178657517058,1986729.1195219124,4.021024958272279,26.290455183819628,18.093242434931977,138.04902869770683,0.6630777774215347,547.8073149448467,524.364740401197,464.6916326904297,436.19238922119143,323.69893661499026,3,-6.684934896184336,36.190926546560334,False,93
PCCL.NS,437.20001220703125,451.04998779296875,-3.0706076844623786,13681.927710843374,-0.7604075993101089,41.48867708965413,63.01267423863652,107.00758452859915,0.6992853074103044,416.8608918506518,388.05270451876567,315.28700164794924,295.31450103759767,257.8312506866455,2,-9.08990158732006,70.19920805061007,False,93
COMSYN.NS,299.1499938964844,314.8500061035156,-4.986505289083409,312469.8207171315,-0.7135725136377058,5.833860475742103,88.29861087099671,95.08934462036622,0.6562073595323015,297.38301324982626,287.16761518599384,242.7767999267578,200.86269973754884,177.94464973449706,7,-9.385427263047752,57.95104270780633,True,93
MANINDS.NS,866.0999755859375,944.0,-8.252121230303233,872919.6215139442,9.163089101940102,44.67550994149639,51.138643056535884,110.72992106713806,0.6948497224230927,800.5606721657371,746.705975616048,624.5159985351562,586.2009982299804,494.76799911499023,1,-18.151480464612025,58.762798947062,False,93
RPTECH.NS,819.6500244140625,965.4798808795799,-15.104391023939534,491746.09920634923,-0.4856431592830446,-5.760273134341764,23.98654175759283,139.68922307106396,0.6187103281290679,816.9334553162616,820.9240367697857,812.9878723144532,699.5465573120117,532.026683807373,27,-27.11396413916567,70.62268257965823,False,92
FILATEX.NS,87.41000366210938,90.9000015258789,-3.8393815238561224,2062447.8087649401,12.467836193014637,6.221901433489885,64.39722902447346,104.51567671825374,0.6361660330064298,78.66038319733956,78.27157448395278,75.23359977722168,61.5614998626709,53.80369995117187,0,0.0,22.132183924587423,False,92
AIMTRON.NS,1748.550048828125,1780.0,-1.7668511894311845,45360.642570281125,7.911875531446766,5.464585803221134,41.881695406445886,125.72129267674272,0.6473713040641976,1657.5693710954295,1635.808859697721,1521.0899951171875,1346.7489978027343,1090.4802490234374,17,-13.424154560217694,41.6920770971037,False,92
MACPOWER.NS,1843.0,2050.0,-10.097560975609754,32363.592,-5.200348585749392,6.7601197863080165,82.34886491942387,98.51356651602474,0.6494207518092373,1881.9520120295515,1847.1121206090472,1628.540009765625,1372.6450073242188,1158.8090032958985,12,-13.165854849466463,41.28739813690745,True,92
OMNI.NS,549.75,764.8499755859375,-28.12315910988339,1091773.022556391,4.515209125475295,-6.26598465473146,12.022414671421288,151.55578699053785,0.6342736317924278,544.6245435066188,553.2866880693213,568.3669970703126,513.5029992675782,,26,-32.92802296201943,38.421630859375,True,92
AEGISLOG.NS,1353.5999755859375,1497.800048828125,-9.627458174741632,1374506.262948207,6.5658973090904516,8.54851448163092,38.055449314596416,126.08614185246556,0.6421738416260037,1302.915561453895,1301.2446963543357,1312.633916015625,1078.2054418945313,882.8060598754882,26,-21.217788654551782,52.0099152114756,False,92
CPPLUS.NS,3825.5,4094.0,-6.558378114313634,265935.78571428574,3.263507508414709,3.2746625567485976,13.335801235773936,136.33671075756945,0.5951670793595115,3741.289093593184,3673.9667123946774,3592.07546875,3284.021237792969,2450.3496514892577,21,-20.59110893991206,5.4694964069585295,False,91
SAKAR.NS,1158.550048828125,1211.0,-4.331127264399259,114836.11155378487,15.055368666098623,23.803169901775668,37.244567354279525,108.07292999778242,0.6066871305236182,1057.1815822436743,997.0699227214667,907.9630017089844,826.0625,645.1672496032714,3,-10.487200660611062,34.08801106959323,False,91
KENNAMET.NS,4682.39990234375,5136.0,-8.831777602341317,26428.654205607476,3.3140572030908144,31.075213121579417,57.016858891619115,91.65807013352033,0.6031473406551884,4615.830840418275,4316.564289657335,3482.9460107421874,3186.4845678710935,,1,-9.55996884735203,76.49184976713315,False,91
VENUSPIPES.NS,2020.0999755859375,2044.4000244140625,-1.188615170120122,85455.216,26.707640576865856,29.219426431644724,41.39902560913955,97.510851295994,0.5993869754515498,1807.5703081852569,1726.760419229941,1683.9573583984375,1567.7840539550782,1347.6717153930665,0,0.0,11.457995452414682,False,91
DPEL.NS,641.9000244140625,655.0,-1.999996272662219,53528.0,11.190029098746601,14.67619909139124,31.5368902487833,119.49051038495035,0.6131151395676804,604.6102366425225,589.4305267734749,571.6080017089844,532.6119992065429,425.5469994354248,0,0.0,9.01834879788832,False,91
EMIL.NS,188.3800048828125,196.74000549316406,-4.249263178272122,2403308.270916335,6.936876116409585,-2.70130453543288,71.34800864063263,99.0279998371751,0.611690292316142,183.31421570302916,179.1057634481546,158.30360107421876,137.487900390625,118.9467002105713,20,-14.841929140865984,61.32234455766101,True,91
SMLMAH.NS,6583.0,6654.0,-1.0670273519687412,102392.21428571429,4.5169484797967785,27.2815158546017,68.10965321139446,80.18119444423284,0.5841337176001149,6100.168392820661,5760.83626227005,4998.48201171875,4409.136232910157,4215.2934533691405,1,-8.859332732191161,53.30516593704486,False,90
STLNETWORK.NS,36.599998474121094,36.599998474121094,0.0,2753432.015873016,26.77519019806498,36.11007551086303,29.146077194988784,97.30458209938327,0.5756519012022904,31.490330713841566,29.348149615331934,26.26219997406006,26.97650001525879,24.159450035095215,0,0.0,49.63205169273688,False,90
PARAS.NS,1435.5999755859375,1583.9105379095645,-9.363569391953563,1755857.0119521911,1.7074017418305054,12.172048389002853,29.63835433724016,114.80075911725632,0.574169598000582,1444.1285432733923,1423.6271073107694,1330.4643408203126,1147.7058068847657,910.3507006835938,14,-14.086053709567425,21.548123141014884,False,90
UNIHEALTH.NS,724.9500122070312,820.0,-11.591461925971803,37614.91935483871,1.02425262975967,0.6944926613269065,53.16924379979901,107.81138011272216,0.5931664898026993,721.5192580685259,723.3995877123718,727.0000012207031,606.3445004272461,468.65700073242186,26,-20.36585365853658,72.58518656792052,True,90
AVADHSUGAR.NS,769.5999755859375,884.7999877929688,-13.019893060168819,111752.696,-7.399831765924625,22.75300432274343,70.65350680384226,78.82432794939305,0.5653640090886611,803.426425752834,775.1765104737227,648.4239794921875,555.2597134399414,466.0535412597656,13,-13.731917006810512,81.68835027132795,True,90
KODYTECH.NS,1475.699951171875,1596.0,-7.537597044368738,15129.718875502009,-4.339939207378995,7.012324232913336,56.08439707214594,96.21061016817659,0.5627803411475918,1497.8541613943955,1462.8211427381452,1350.7329907226563,1117.237994995117,974.6627474975586,3,-9.147869674185461,29.02814474393878,True,89
SANSERA.NS,4129.89990234375,4170.0,-0.961633037320142,221397.67729083664,8.979834175589252,6.48737463187381,40.468003304920416,98.59106118518785,0.5377228380948496,3987.9354647854275,3897.56810385946,3598.172001953125,3191.765007324219,2584.922000732422,2,-5.1558752997601935,27.7064094865207,False,89
SHREEJISPG.NS,691.75,721.5,-4.123354123354128,1069103.611111111,1.7055024876211133,5.634882154656196,47.71514371805119,91.11755122813119,0.5205909028636119,683.988536593736,666.6337982120901,629.8319952392578,542.3154977416992,450.75610092163083,1,-4.857933166038631,19.717946169381896,False,89
TDPOWERSYS.NS,804.9000244140625,812.7999877929688,-0.9719443279468276,2472469.9166666665,8.755580457467627,8.652812861412706,37.78299621249046,106.4538298940231,0.5652255143938568,759.9864664163456,740.2708341088284,656.5177673339844,635.9296752929688,516.8297579956055,0,0.0,42.890150236669754,False,89
KOPRAN.NS,235.25999450683594,249.99000549316406,-5.892239954661271,396307.0,1.3003741570100757,36.35889188626511,30.493898872384694,96.13123544050184,0.5500247963087018,226.32296381331935,215.63938531397596,198.9079168701172,186.73355072021485,160.15920978546143,3,-9.516383864223087,17.88575364402025,False,89
PAYTM.NS,1807.5,1840.0,-1.7663043478260865,3437141.625498008,10.415394013439228,12.26708074534162,61.182446999181074,79.1200122614678,0.5349769455475369,1704.2289349397713,1651.0619400661626,1482.93,1299.0995007324218,1243.6140002441407,0,0.0,32.79700480649061,False,89
EXICOM.NS,182.27999877929688,189.1699981689453,-3.6422262813023187,2126488.26984127,2.4908588831888068,20.483843524636214,8.564625018198768,112.74509585673478,0.5201328044139967,174.91404158657184,169.39144943469188,163.25979858398438,152.80109924316406,127.62089946746826,3,-9.61039956216785,11.400709319408953,False,88
EBGNG.NS,679.6500244140625,704.9000244140625,-3.582068254429227,456871.8326693227,13.039505100051985,18.705796682301322,50.498231892909516,75.77913749974645,0.5050623441423691,647.861904351916,625.4499470519346,589.94,527.0579998779297,429.8987499237061,1,-5.944108804491998,18.6160487597812,False,88
REDINGTON.NS,393.70001220703125,403.25,-2.368254877363607,6750067.78968254,6.032864301237839,13.786130695673782,64.90959269736531,71.53972944596738,0.5144928215685509,376.02598155938085,363.45788547913753,325.4839990234375,279.6360740661621,263.94951782226565,1,-5.69126155165065,41.97754122940187,False,88
WSTCSTPAPR.NS,713.7999877929688,722.4000244140625,-1.1904812196080972,134309.28685258963,9.773162290345061,17.769347722364447,39.421306573112716,84.27751756264999,0.500685847705012,672.0864849873548,647.4040871660127,591.6594323730469,545.731533203125,482.49974075317385,0,0.0,37.85401351959366,False,88
BLUESTONE.NS,890.3499755859375,926.0,-3.849894645147134,1548616.768924303,5.648172718592415,1.8357529471645595,70.63050908678747,71.88223466909992,0.5087401445496836,852.7516010959889,834.8914343278896,770.2320056152344,639.7655038452149,561.6462518310547,21,-16.83585576825729,73.48942685089001,True,88
QUESS.NS,348.0,388.75,-10.482315112540197,689216.4206349206,-1.9027484143763207,4.441772884381789,40.64428217698446,95.93435741015244,0.5126510735259504,353.4772660733137,349.443342283257,324.6584991455078,274.46089233398436,233.937264251709,9,-16.655948553054667,31.295430946326054,True,88
INOXINDIA.NS,2246.60009765625,2339.5,-3.9709297860119674,218037.3187250996,-0.05338335909818026,15.690821845173296,22.124381793421,97.91481364981813,0.48936066031078396,2192.781458446118,2124.0024299812803,2001.9179907226562,1817.2613623046875,1499.2004583740234,1,-6.300487383789266,15.11231551968173,False,87
LOTUSDEV.NS,209.27000427246094,215.0,-2.665114291878634,1618393.9841269841,8.446284383375557,20.42316945349063,46.65671968338181,75.43316185770831,0.49099542977133553,195.77947865148454,188.5203851328492,173.81684356689453,157.8014651489258,150.75962955474853,0,0.0,49.74808721970248,False,87
LAURUSLABS.NS,1969.0,1981.800048828125,-0.6458799330282594,2104151.326693227,5.378645972705387,6.432432432432433,41.74645703016835,88.28431477261731,0.49662014101854457,1912.7574563075284,1876.9171770866083,1751.3620043945311,1544.3926147460938,1290.5384896850585,0,0.0,26.412431359939003,False,87
WABAG.NS,2277.89990234375,2319.0,-1.7723198644351013,451621.9404761905,13.59396832782851,20.805045175921144,30.163438835120758,86.0098819540304,0.48973390300115477,2106.094948138044,2062.5390955755756,2031.7533984375,1833.4091589355469,1546.0521520996094,0,0.0,14.404094735293915,False,87
INDNIPPON.NS,1358.9000244140625,1564.0,-13.113809180686541,69251.592,22.48963354149691,16.82428485704697,48.74125007966772,71.2000030757874,0.4871619657977436,1213.4841401167648,1167.4861598400853,1145.407998046875,1001.7209979248047,890.1285455322266,1,-16.87979539641944,16.709292412617227,False,87
KMEW.NS,2869.199951171875,3175.0,-9.63149760088583,176674.0,-5.413066409246148,5.882349231364281,44.28966312154261,88.10724836574002,0.4916496148810703,2932.310434385146,2868.5312667661788,2632.2900048828124,2333.7919970703124,2006.2287451171876,6,-11.429918184055122,38.869777251553074,False,87
AZAD.NS,2849.10009765625,2986.60009765625,-4.6038972578854365,361831.72222222225,2.585246374745176,6.90405587999543,33.67897679272331,90.86890807623496,0.48090592081784583,2810.5761956002802,2767.6370395491545,2571.536015625,2339.0230114746096,1977.1880072021484,19,-10.339517803888686,39.2575892401791,True,86
