Ticker,Current_Price,High_52W,Pct_From_High,Avg_Volume,Return_1W,Return_1M,Return_3M,Return_6M,RS_Composite,EMA_10,EMA_20,SMA_50,SMA_100,SMA_200,RS_Percentile
TBZ.NS,583.0499877929688,583.0499877929688,0.0,1242988.3665338645,60.046666848727796,112.66117346549191,253.4536476223618,331.27477579464824,2.3708290598253896,434.7749568936439,370.11551236083835,281.69272247314456,220.1538134765625,186.7008248138428,99
BODALCHEM.NS,184.94000244140625,188.6999969482422,-1.992577937278528,548011.08,45.89775901285411,168.57391925960084,176.64922462638506,320.0318136923637,2.193120526180666,142.58615097043463,118.14620473462382,81.3082007598877,75.3001001739502,63.636500186920166,99
STLTECH.NS,847.0,864.4000244140625,-2.0129597319085257,3997873.438247012,22.098887861518037,32.81066248529989,49.014771924602464,370.1898539301716,1.7155239443266117,746.1980482553199,702.1151557554966,613.533002319336,547.2200994873047,344.51224956512453,99
SIGMAADV.NS,767.4500122070312,801.0,-4.188512833079749,281499.0398406375,-0.711559598051581,9.409081025223553,60.052140189161896,391.13659233711127,1.7628093923683263,754.6296247501426,728.4621623037406,644.4990014648438,522.9727000427246,350.98665046691895,99
MODISONLTD.NS,504.75,546.0,-7.55494505494505,115957.05976095618,-3.0538795099368965,64.17302974771408,67.2096174872227,296.04331378935314,1.511094287604572,471.50469762227505,432.7750657912052,343.0803649902344,292.64119552612306,216.3379807281494,99
CYIENTDLM.NS,970.0499877929688,1009.0,-3.8602588906869406,643443.6135458167,13.164952634027948,40.281993896307846,124.62660045915226,222.06173588273307,1.3558556853350328,869.6408739493206,811.8156914563223,682.3120007324219,556.9835000610351,460.17150024414065,99
SETL.NS,411.0,413.5,-0.6045949214026569,554576.6055776892,9.614611713377808,38.244203456277546,158.65325096723825,233.68515556544426,1.4968033937894247,382.5491969272655,356.142157408126,306.6279998779297,232.49399978637695,183.31529975891112,99
PRIZOR.NS,1224.4000244140625,1224.4000244140625,0.0,25116.129032258064,10.395821059071974,36.19577579689237,48.09797694757334,217.57231569970546,1.0973705662943987,1125.3681174525354,1050.0625892741593,911.5209997558594,817.8184997558594,570.6867496490479,98
CUPID.NS,269.25,299.0,-9.949832775919731,29007861.063492063,-4.0790921656912005,-2.674857784111595,68.31280736725655,209.83888984146577,1.0348651737337184,277.5314540011112,274.25481181521644,248.22939849853515,194.45489883422852,139.56454950332642,98
NOVARTIND.NS,2048.300048828125,2068.0,-0.9526088574407621,38756.6,27.898847881868562,28.5248234664232,57.36786165089222,204.6932017594831,1.075824886805324,1703.6131142532263,1635.5787401263642,1583.1819970703125,1433.4669982910157,,98
MOREPENLAB.NS,114.56999969482422,122.55000305175781,-6.511630484059083,8532928.896825397,2.3220491611822602,49.0050729669385,128.59138494900964,185.63948629124693,1.2286642951070756,110.45314378015834,101.50169305015098,77.92660026550293,62.1109001159668,50.91855009078979,98
KABRAEXTRU.NS,644.4000244140625,677.75,-4.920689868821471,105346.10358565737,15.081705574783943,26.675842136957506,171.60079209876912,170.5289809697531,1.2653516900240187,605.4836789551259,569.5207868149936,451.0630010986328,344.8947998046875,285.81334983825684,98
WELCORP.NS,2623.39990234375,2676.0,-1.9656239781857265,942137.203187251,2.7333882369273033,41.92047077867189,89.44225455310276,224.4312724877094,1.2526261834044172,2493.5124169131245,2318.7500145652166,1897.3380053710937,1617.573458251953,1218.748959350586,98
IOLCP.NS,215.22999572753906,219.0399932861328,-1.7394072659675186,3298061.412698413,14.253100195760915,31.125866045977713,60.3322310192391,200.51659798045822,1.0595679172672665,199.56290764157376,188.0441546706789,167.4177996826172,143.13779983520507,110.45823371887207,98
KSHINTL.NS,1173.699951171875,1198.0,-2.0283847101940755,428830.8044692737,23.1584418858211,30.324226403432508,43.422739193156005,196.61357466872965,1.0005294109470728,1043.0966668528963,1004.4234368258454,925.2879992675781,834.1094989013671,,98
PVP.NS,63.47999954223633,71.9000015258789,-11.710711828861331,1343819.8685258965,2.7018251607205723,84.21358452919927,104.11575165143576,144.62426850058293,1.061973323175758,62.065286761050196,55.59434309853115,39.052600059509274,34.45530004501343,32.74364994049072,98
INDSWFTLAB.NS,382.04998779296875,401.45001220703125,-4.832488186364214,825831.844,3.7756333361213423,61.03944484353727,140.84345712225576,167.8608811006269,1.2198284187924708,364.3282569475644,340.6481036408037,275.5630014038086,214.55850036621095,166.51405010223388,98
